TaskID,TaskAO,StationID,Team,Start,End,Duration
36,AFZG00-0130,2,"[47, 33, 59]",62.706942875273796,63.234837606446106,0.5278947311723101
60,AYQQ00-0080,2,[33],63.234837606446106,69.01107085163063,5.776233245184528
117,AGHXB4-0100,1,[66],60.1091978766866,62.34609481005228,2.236896933365678
93,AJZY00-0240,2,[50],66.5992778673,67.07163690069893,0.4723590333989307
156,ARWB00-0060,1,"[12, 38]",58.35141759216977,61.156473382259605,2.8050557900898383
69,ACCP00-0060,5,[4],66.28349000891617,66.78766663639661,0.5041766274804331
133,ENHDB1-0290,5,[4],66.78766663639661,68.60270244724416,1.8150358108475473
47,AMYG00-0010,4,[53],66.8644534335316,67.5765103840756,0.7120569505440102
147,ENHSB1-0440,2,[33],69.01107085163063,71.24049433234414,2.229423480713507
45,AKCP00-0060,5,[29],63.57746258151457,64.88217790189204,1.3047153203774684
53,BWQS00-0090,4,[18],60.33412040648904,61.26193871064555,0.92781830415651
151,ARWB00-0010,4,"[32, 53]",67.5765103840756,70.11401404165667,2.5375036575810697
100,AJYYA1-0310,3,"[65, 91]",59.79694798263738,60.9996812223037,1.2027332396663226
148,ENHSB1-0420,5,[78],65.91928198649184,67.87003711361217,1.9507551271203312
103,AJWC00-0580,2,"[22, 59, 77, 33, 47]",71.24049433234414,73.15425816756881,1.913763835224671
76,AQHS00-0050,5,[42],60.66439787753065,62.08555274174548,1.4211548642148344
58,AYQQ00-0060,3,"[21, 70]",58.13666321230652,65.14599924129323,7.009336028986702
135,ENHDB1-0270,4,[87],60.32666460821684,61.92151727561349,1.5948526673966512
66,ACCP00-0030,2,[59],73.15425816756881,73.71777126946347,0.5635131018946566
49,AWWB00-0020,5,[15],68.44744284731607,69.26541613967937,0.8179732923633054
44,AKYY00-0050,1,[12],61.156473382259605,62.78977189483256,1.6332985125729564
39,AFZG00-0160,5,[4],68.60270244724416,69.10687907472459,0.5041766274804331
65,ACYY00-0020,2,[47],73.15425816756881,73.92917058989545,0.7749124223266364
143,ENHDB1-0200,1,[38],61.156473382259605,63.19527396959406,2.038800587334457
98,AJQX00-0290,1,[66],62.34609481005228,63.665863942073074,1.3197691320207952
73,AQHS00-0020,5,[29],64.88217790189204,65.95390833966296,1.071730437770924
134,ENHDB1-0280,5,[29],65.95390833966296,67.63139944999173,1.6774911103287735
102,AJWC00-0570,3,[91],60.9996812223037,62.399794436455714,1.4001132141520145
111,DXHS00-0010,4,[18],61.26193871064555,63.3959207659637,2.1339820553181497
